INFO:absl:epoch: 75, train_loss: 0.1298, train_accuracy: 95.23, test_loss: 2.2918, test_accuracy: 68.84
INFO:absl:epoch: 76, train_loss: 0.1343, train_accuracy: 94.98, test_loss: 2.2948, test_accuracy: 68.24
INFO:absl:epoch: 77, train_loss: 0.1322, train_accuracy: 95.17, test_loss: 2.3119, test_accuracy: 68.27
INFO:absl:epoch: 78, train_loss: 0.1275, train_accuracy: 95.17, test_loss: 2.3015, test_accuracy: 68.91
INFO:absl:epoch: 79, train_loss: 0.1239, train_accuracy: 95.32, test_loss: 2.3268, test_accuracy: 69.02
INFO:absl:epoch: 80, train_loss: 0.1384, train_accuracy: 94.92, test_loss: 2.3200, test_accuracy: 68.83
INFO:absl:epoch: 81, train_loss: 0.1393, train_accuracy: 94.89, test_loss: 2.3857, test_accuracy: 67.84
INFO:absl:epoch: 82, train_loss: 0.1247, train_accuracy: 95.45, test_loss: 2.3469, test_accuracy: 68.94
INFO:absl:epoch: 83, train_loss: 0.1363, train_accuracy: 94.92, test_loss: 2.4212, test_accuracy: 68.67
INFO:absl:epoch: 84, train_loss: 0.1238, train_accuracy: 95.42, test_loss: 2.5012, test_accuracy: 69.07
INFO:absl:epoch: 85, train_loss: 0.1211, train_accuracy: 95.56, test_loss: 2.5123, test_accuracy: 68.45
INFO:absl:epoch: 86, train_loss: 0.1203, train_accuracy: 95.57, test_loss: 2.5384, test_accuracy: 68.78
INFO:absl:epoch: 87, train_loss: 0.1157, train_accuracy: 95.72, test_loss: 2.5438, test_accuracy: 68.71
INFO:absl:epoch: 88, train_loss: 0.1200, train_accuracy: 95.61, test_loss: 2.5719, test_accuracy: 68.51
INFO:absl:epoch: 89, train_loss: 0.1077, train_accuracy: 95.99, test_loss: 2.6071, test_accuracy: 68.72
INFO:absl:epoch: 90, train_loss: 0.0975, train_accuracy: 96.43, test_loss: 2.6903, test_accuracy: 68.50
INFO:absl:epoch: 91, train_loss: 0.0997, train_accuracy: 96.35, test_loss: 2.7056, test_accuracy: 67.80
INFO:absl:epoch: 92, train_loss: 0.1148, train_accuracy: 95.83, test_loss: 2.7496, test_accuracy: 68.09
INFO:absl:epoch: 93, train_loss: 0.1186, train_accuracy: 95.64, test_loss: 2.6978, test_accuracy: 68.39
INFO:absl:epoch: 94, train_loss: 0.1297, train_accuracy: 95.32, test_loss: 2.7451, test_accuracy: 67.80
INFO:absl:epoch: 95, train_loss: 0.1181, train_accuracy: 95.70, test_loss: 2.8135, test_accuracy: 67.96
INFO:absl:epoch: 96, train_loss: 0.1183, train_accuracy: 95.70, test_loss: 2.7051, test_accuracy: 68.57
INFO:absl:epoch: 97, train_loss: 0.0990, train_accuracy: 96.41, test_loss: 2.8924, test_accuracy: 68.04
INFO:absl:epoch: 98, train_loss: 0.1141, train_accuracy: 95.97, test_loss: 2.8507, test_accuracy: 68.08
INFO:absl:epoch: 99, train_loss: 0.1203, train_accuracy: 95.71, test_loss: 2.8808, test_accuracy: 68.58
INFO:absl:epoch: 100, train_loss: 0.1104, train_accuracy: 95.97, test_loss: 2.7884, test_accuracy: 68.71
INFO:absl:epoch: 101, train_loss: 0.1037, train_accuracy: 96.29, test_loss: 2.9378, test_accuracy: 67.84
INFO:absl:epoch: 102, train_loss: 0.1000, train_accuracy: 96.28, test_loss: 2.9907, test_accuracy: 67.66
INFO:absl:epoch: 103, train_loss: 0.1100, train_accuracy: 96.06, test_loss: 3.0081, test_accuracy: 68.21
INFO:absl:epoch: 104, train_loss: 0.1106, train_accuracy: 96.04, test_loss: 2.9265, test_accuracy: 68.09
INFO:absl:epoch: 105, train_loss: 0.1165, train_accuracy: 95.89, test_loss: 3.0291, test_accuracy: 67.91
INFO:absl:epoch: 106, train_loss: 0.1113, train_accuracy: 96.02, test_loss: 2.8993, test_accuracy: 68.50
